Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Quindio, Colombia;;jun-22;1109;400;N/A;cellular;mean;400;59;19264;10575;19.26;10.58
All Providers Combined;Risaralda, Colombia;;jun-22;1922;627;N/A;cellular;mean;627;55;16874;10986;16.87;10.99
All Providers Combined;San Andrés and Providencia, Colombia;;jun-22;788;190;N/A;cellular;mean;190;89;14164;8536;14.16;8.54
All Providers Combined;Santander Department, Colombia;;jun-22;6114;1677;N/A;cellular;mean;1677;60;16125;10915;16.13;10.92
All Providers Combined;Sucre, Colombia;;jun-22;1145;321;N/A;cellular;mean;321;60;15309;10778;15.31;10.78
All Providers Combined;Tolima, Colombia;;jun-22;2229;799;N/A;cellular;mean;799;54;16220;9428;16.22;9.43
All Providers Combined;Valle del Cauca, Colombia;;jun-22;9395;3477;N/A;cellular;mean;3477;54;19984;11594;19.98;11.59
All Providers Combined;Vaupes, Colombia;;jun-22;27;11;N/A;cellular;mean;11;175;1668;7434;1.67;7.43
All Providers Combined;Vichada, Colombia;;jun-22;38;11;N/A;cellular;mean;11;167;7316;5545;7.32;5.55
All Providers Combined;Guaviare, Colombia;;jun-22;149;46;N/A;cellular;mean;46;41;13961;10641;13.96;10.64
All Providers Combined;Amazonas, Colombia;;jul-22;91;28;N/A;cellular;mean;28;230;6029;10122;6.03;10.12
All Providers Combined;Antioquia, Colombia;;jul-22;16747;5942;N/A;cellular;mean;5942;47;18362;11186;18.36;11.19
All Providers Combined;Arauca, Colombia;;jul-22;577;145;N/A;cellular;mean;145;66;12843;9082;12.84;9.08
All Providers Combined;Atlantico, Colombia;;jul-22;8356;3017;N/A;cellular;mean;3017;40;18463;12764;18.46;12.76
All Providers Combined;Bogota, Colombia;;jul-22;36817;13801;N/A;cellular;mean;13801;36;19996;12352;20.00;12.35
All Providers Combined;Bolivar, Colombia;;jul-22;3387;976;N/A;cellular;mean;976;52;18477;12040;18.48;12.04
All Providers Combined;Boyaca, Colombia;;jul-22;2553;893;N/A;cellular;mean;893;48;14697;10340;14.70;10.34
All Providers Combined;Caldas, Colombia;;jul-22;1620;597;N/A;cellular;mean;597;51;17398;10976;17.40;10.98
All Providers Combined;Caquetá, Colombia;;jul-22;569;171;N/A;cellular;mean;171;99;9904;9750;9.90;9.75
All Providers Combined;Casanare, Colombia;;jul-22;965;289;N/A;cellular;mean;289;49;14622;11002;14.62;11.00
All Providers Combined;Cauca Department, Colombia;;jul-22;1081;437;N/A;cellular;mean;437;66;13783;9999;13.78;10.00
All Providers Combined;Cesar, Colombia;;jul-22;1390;461;N/A;cellular;mean;461;54;16086;10106;16.09;10.11
All Providers Combined;Choco, Colombia;;jul-22;599;112;N/A;cellular;mean;112;105;12302;8311;12.30;8.31
All Providers Combined;Cordoba, Colombia;;jul-22;2181;524;N/A;cellular;mean;524;64;18282;10771;18.28;10.77
All Providers Combined;Cundinamarca, Colombia;;jul-22;7316;3013;N/A;cellular;mean;3013;42;14822;10121;14.82;10.12
All Providers Combined;Guainia, Colombia;;jul-22;38;8;N/A;cellular;mean;8;264;2947;2794;2.95;2.79
All Providers Combined;Huila, Colombia;;jul-22;1500;542;N/A;cellular;mean;542;61;13597;8650;13.60;8.65
All Providers Combined;La Guajira, Colombia;;jul-22;687;268;N/A;cellular;mean;268;53;14324;10572;14.32;10.57
All Providers Combined;Magdalena, Colombia;;jul-22;1491;613;N/A;cellular;mean;613;54;17738;11046;17.74;11.05
All Providers Combined;Meta, Colombia;;jul-22;2363;781;N/A;cellular;mean;781;44;16105;11527;16.11;11.53
All Providers Combined;Narino, Colombia;;jul-22;1130;442;N/A;cellular;mean;442;66;16108;11000;16.11;11.00
All Providers Combined;North Santander, Colombia;;jul-22;2364;694;N/A;cellular;mean;694;57;14297;11337;14.30;11.34
All Providers Combined;Putumayo, Colombia;;jul-22;357;121;N/A;cellular;mean;121;90;10247;8670;10.25;8.67
All Providers Combined;Quindio, Colombia;;jul-22;1176;457;N/A;cellular;mean;457;61;15666;9860;15.67;9.86
All Providers Combined;Risaralda, Colombia;;jul-22;2032;660;N/A;cellular;mean;660;52;18081;11057;18.08;11.06
All Providers Combined;San Andrés and Providencia, Colombia;;jul-22;591;177;N/A;cellular;mean;177;88;13087;9722;13.09;9.72
All Providers Combined;Santander Department, Colombia;;jul-22;5797;1665;N/A;cellular;mean;1665;58;16100;10792;16.10;10.79
All Providers Combined;Sucre, Colombia;;jul-22;1848;396;N/A;cellular;mean;396;64;15299;10689;15.30;10.69
All Providers Combined;Tolima, Colombia;;jul-22;2430;844;N/A;cellular;mean;844;48;15212;9580;15.21;9.58
