place_name,aggregate_date,isp_name,total_samples,consistency_broadband,consistency_ultra_broadband
Armenia,2020-08-01T00:00:00Z,Movistar,188,0.0372340425531915,0.0159574468085106
Armenia,2020-09-01T00:00:00Z,All providers combined,5422,0.390630763555883,0.0143858354850609
Armenia,2020-09-01T00:00:00Z,Movistar,216,0.0416666666666667,0.0324074074074074
Armenia,2020-09-01T00:00:00Z,Claro,2495,0.51062124248497,0.0140280561122244
Armenia,2020-09-01T00:00:00Z,Tigo,2711,0.308004426410918,0.0132792327554408
Armenia,2020-10-01T00:00:00Z,Claro,2638,0.54814253222138,0.0208491281273692
Armenia,2020-10-01T00:00:00Z,All providers combined,6207,0.369421620750765,0.0188496858385694
Armenia,2020-10-01T00:00:00Z,Tigo,3359,0.250967549866032,0.0181601667162846
Armenia,2020-10-01T00:00:00Z,Movistar,210,0.019047619047619,0.00476190476190476
Armenia,2020-11-01T00:00:00Z,Claro,2572,0.578149300155521,0.020606531881804
Armenia,2020-11-01T00:00:00Z,All providers combined,6002,0.378707097634122,0.0164945018327224
Armenia,2020-11-01T00:00:00Z,Tigo,3250,0.239692307692308,0.0123076923076923
Armenia,2020-11-01T00:00:00Z,Movistar,180,0.0388888888888889,0.0333333333333333
Armenia,2020-12-01T00:00:00Z,Movistar,207,0.0289855072463768,0.0241545893719807
Armenia,2020-12-01T00:00:00Z,All providers combined,4293,0.468669927789425,0.0225949219659911
Armenia,2020-12-01T00:00:00Z,Claro,2126,0.604891815616181,0.0263405456255879
Armenia,2020-12-01T00:00:00Z,Tigo,1960,0.36734693877551,0.0183673469387755
Armenia,2021-01-01T00:00:00Z,Claro,2458,0.548006509357201,0.0268510984540277
Armenia,2021-01-01T00:00:00Z,Movistar,206,0.0728155339805825,0.0485436893203883
Armenia,2021-01-01T00:00:00Z,Tigo,2419,0.360892930963208,0.0186027284001654
Armenia,2021-01-01T00:00:00Z,All providers combined,5083,0.439700963997639,0.0238048396616172
Armenia,2021-02-01T00:00:00Z,Claro,2972,0.534320323014805,0.028600269179004
Armenia,2021-02-01T00:00:00Z,Tigo,2364,0.451353637901861,0.0114213197969543
Armenia,2021-02-01T00:00:00Z,All providers combined,5537,0.481307567274697,0.0214917825537294
