Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;North Santander, Colombia;;oct-20;55387;15227;all;N/A;mean;15227;48;37747;25599;37.75;25.60
All Providers Combined;Putumayo, Colombia;;oct-20;4610;949;all;N/A;mean;949;45;13321;11228;13.32;11.23
All Providers Combined;Quindio, Colombia;;oct-20;35685;7761;all;N/A;mean;7761;53;28368;7002;28.37;7.00
All Providers Combined;Risaralda, Colombia;;oct-20;90870;23220;all;N/A;mean;23220;36;30780;9238;30.78;9.24
All Providers Combined;San Andrés and Providencia, Colombia;;oct-20;741;164;all;N/A;mean;164;77;4914;6443;4.91;6.44
All Providers Combined;Santander Department, Colombia;;oct-20;189815;46007;all;N/A;mean;46007;37;40501;22922;40.50;22.92
All Providers Combined;Sucre, Colombia;;oct-20;14233;3912;all;N/A;mean;3912;42;21175;7257;21.18;7.26
All Providers Combined;Tolima, Colombia;;oct-20;49023;13423;all;N/A;mean;13423;52;33110;19700;33.11;19.70
All Providers Combined;Valle del Cauca, Colombia;;oct-20;264927;71718;all;N/A;mean;71718;32;42886;23085;42.89;23.09
All Providers Combined;Vichada, Colombia;;oct-20;11;7;all;N/A;mean;7;44;4428;2770;4.43;2.77
All Providers Combined;Guaviare, Colombia;;oct-20;492;87;all;N/A;mean;87;33;15249;21272;15.25;21.27
All Providers Combined;Antioquia, Colombia;;nov-20;372265;107188;all;N/A;mean;107188;31;41125;14103;41.13;14.10
All Providers Combined;Arauca, Colombia;;nov-20;1691;406;all;N/A;mean;406;69;10515;6387;10.52;6.39
All Providers Combined;Atlantico, Colombia;;nov-20;104252;31269;all;N/A;mean;31269;40;38995;21045;39.00;21.05
All Providers Combined;Bogota, Colombia;;nov-20;950270;276124;all;N/A;mean;276124;23;49645;22431;49.65;22.43
All Providers Combined;Bolivar, Colombia;;nov-20;53134;14488;all;N/A;mean;14488;44;36184;21796;36.18;21.80
All Providers Combined;Boyaca, Colombia;;nov-20;38932;9793;all;N/A;mean;9793;36;25050;10277;25.05;10.28
All Providers Combined;Caldas, Colombia;;nov-20;67568;14088;all;N/A;mean;14088;42;30968;8834;30.97;8.83
All Providers Combined;Caquetá, Colombia;;nov-20;6847;1634;all;N/A;mean;1634;43;25411;14305;25.41;14.31
All Providers Combined;Casanare, Colombia;;nov-20;11653;3052;all;N/A;mean;3052;33;28968;7650;28.97;7.65
All Providers Combined;Cauca Department, Colombia;;nov-20;38888;10189;all;N/A;mean;10189;40;26979;11236;26.98;11.24
All Providers Combined;Cesar, Colombia;;nov-20;28267;7138;all;N/A;mean;7138;48;33390;18357;33.39;18.36
All Providers Combined;Choco, Colombia;;nov-20;2007;532;all;N/A;mean;532;76;14281;8989;14.28;8.99
All Providers Combined;Cordoba, Colombia;;nov-20;33048;8129;all;N/A;mean;8129;47;28556;17185;28.56;17.19
All Providers Combined;Cundinamarca, Colombia;;nov-20;165100;48298;all;N/A;mean;48298;29;40561;19464;40.56;19.46
All Providers Combined;Guainia, Colombia;;nov-20;7;2;all;N/A;mean;2;80;1173;836;1.17;0.84
All Providers Combined;Huila, Colombia;;nov-20;43390;11297;all;N/A;mean;11297;44;26301;14196;26.30;14.20
All Providers Combined;La Guajira, Colombia;;nov-20;8430;2186;all;N/A;mean;2186;57;25666;10333;25.67;10.33
All Providers Combined;Magdalena, Colombia;;nov-20;47664;14515;all;N/A;mean;14515;41;36597;14141;36.60;14.14
All Providers Combined;Meta, Colombia;;nov-20;36511;9502;all;N/A;mean;9502;33;36019;16502;36.02;16.50
All Providers Combined;Narino, Colombia;;nov-20;35003;9074;all;N/A;mean;9074;43;30400;17448;30.40;17.45
All Providers Combined;North Santander, Colombia;;nov-20;50550;13967;all;N/A;mean;13967;54;39863;25625;39.86;25.63
All Providers Combined;Putumayo, Colombia;;nov-20;4580;1016;all;N/A;mean;1016;40;17449;18961;17.45;18.96
All Providers Combined;Quindio, Colombia;;nov-20;31926;7200;all;N/A;mean;7200;45;30499;6891;30.50;6.89
All Providers Combined;Risaralda, Colombia;;nov-20;82285;21529;all;N/A;mean;21529;38;32054;9980;32.05;9.98
All Providers Combined;San Andrés and Providencia, Colombia;;nov-20;333;105;all;N/A;mean;105;78;4485;6946;4.49;6.95
All Providers Combined;Santander Department, Colombia;;nov-20;190154;45418;all;N/A;mean;45418;38;42760;24069;42.76;24.07
All Providers Combined;Sucre, Colombia;;nov-20;12550;3400;all;N/A;mean;3400;48;22371;9284;22.37;9.28
All Providers Combined;Tolima, Colombia;;nov-20;42642;11732;all;N/A;mean;11732;46;34439;21025;34.44;21.03
All Providers Combined;Valle del Cauca, Colombia;;nov-20;243659;67434;all;N/A;mean;67434;33;45079;25728;45.08;25.73
All Providers Combined;Vichada, Colombia;;nov-20;20;10;all;N/A;mean;10;66;5959;1778;5.96;1.78
All Providers Combined;Guaviare, Colombia;;nov-20;604;131;all;N/A;mean;131;33;12206;18190;12.21;18.19
All Providers Combined;Amazonas, Colombia;;Dec 2020;5;4;all;N/A;mean;4;69;424;409;0.42;0.41
All Providers Combined;Antioquia, Colombia;;Dec 2020;322837;91518;all;N/A;mean;91518;31;43294;15133;43.29;15.13
All Providers Combined;Arauca, Colombia;;Dec 2020;1426;371;all;N/A;mean;371;54;16111;8521;16.11;8.52
All Providers Combined;Atlantico, Colombia;;Dec 2020;98684;28061;all;N/A;mean;28061;38;43107;23392;43.11;23.39
All Providers Combined;Bogota, Colombia;;Dec 2020;788520;228759;all;N/A;mean;228759;23;51917;23482;51.92;23.48
All Providers Combined;Bolivar, Colombia;;Dec 2020;47414;13153;all;N/A;mean;13153;41;40354;25607;40.35;25.61
All Providers Combined;Boyaca, Colombia;;Dec 2020;33394;8817;all;N/A;mean;8817;37;25794;11867;25.79;11.87
All Providers Combined;Caldas, Colombia;;Dec 2020;40833;9965;all;N/A;mean;9965;34;34907;9577;34.91;9.58
All Providers Combined;Caquetá, Colombia;;Dec 2020;5458;1368;all;N/A;mean;1368;43;26479;12087;26.48;12.09
All Providers Combined;Casanare, Colombia;;Dec 2020;9745;2645;all;N/A;mean;2645;34;28569;8665;28.57;8.67
All Providers Combined;Cauca Department, Colombia;;Dec 2020;31954;8830;all;N/A;mean;8830;39;27897;12616;27.90;12.62
All Providers Combined;Cesar, Colombia;;Dec 2020;22692;5931;all;N/A;mean;5931;44;34000;18519;34.00;18.52
All Providers Combined;Choco, Colombia;;Dec 2020;2650;564;all;N/A;mean;564;67;14239;10393;14.24;10.39
All Providers Combined;Cordoba, Colombia;;Dec 2020;27112;7063;all;N/A;mean;7063;46;30564;18183;30.56;18.18
All Providers Combined;Cundinamarca, Colombia;;Dec 2020;149686;42630;all;N/A;mean;42630;29;41568;20216;41.57;20.22
All Providers Combined;Guainia, Colombia;;Dec 2020;14;6;all;N/A;mean;6;71;15128;4217;15.13;4.22
All Providers Combined;Huila, Colombia;;Dec 2020;40365;10815;all;N/A;mean;10815;46;26964;15450;26.96;15.45
All Providers Combined;La Guajira, Colombia;;Dec 2020;5538;1688;all;N/A;mean;1688;53;26935;9173;26.94;9.17
All Providers Combined;Magdalena, Colombia;;Dec 2020;43346;13283;all;N/A;mean;13283;41;38870;15510;38.87;15.51
All Providers Combined;Meta, Colombia;;Dec 2020;30372;7999;all;N/A;mean;7999;32;35536;15387;35.54;15.39
All Providers Combined;Narino, Colombia;;Dec 2020;29798;7914;all;N/A;mean;7914;42;31793;17622;31.79;17.62
All Providers Combined;North Santander, Colombia;;Dec 2020;44454;12227;all;N/A;mean;12227;51;40479;25862;40.48;25.86
All Providers Combined;Putumayo, Colombia;;Dec 2020;4737;1007;all;N/A;mean;1007;45;12727;13498;12.73;13.50
All Providers Combined;Quindio, Colombia;;Dec 2020;19809;5556;all;N/A;mean;5556;43;33428;8717;33.43;8.72
All Providers Combined;Risaralda, Colombia;;Dec 2020;66465;17820;all;N/A;mean;17820;38;32967;10005;32.97;10.01
All Providers Combined;San Andrés and Providencia, Colombia;;Dec 2020;395;121;all;N/A;mean;121;62;4057;5102;4.06;5.10
All Providers Combined;Santander Department, Colombia;;Dec 2020;156388;37642;all;N/A;mean;37642;36;45467;26539;45.47;26.54
All Providers Combined;Sucre, Colombia;;Dec 2020;8185;2526;all;N/A;mean;2526;41;28464;14140;28.46;14.14
All Providers Combined;Tolima, Colombia;;Dec 2020;36203;10633;all;N/A;mean;10633;43;37790;24842;37.79;24.84
All Providers Combined;Valle del Cauca, Colombia;;Dec 2020;228699;62145;all;N/A;mean;62145;33;46530;27818;46.53;27.82
All Providers Combined;Vaupes, Colombia;;Dec 2020;1;1;all;N/A;mean;1;0;53492;27995;53.49;28.00
All Providers Combined;Vichada, Colombia;;Dec 2020;4;2;all;N/A;mean;2;69;874;1435;0.87;1.44
All Providers Combined;Guaviare, Colombia;;Dec 2020;505;109;all;N/A;mean;109;25;13747;17604;13.75;17.60
All Providers Combined;Amazonas, Colombia;;Jan 2021;7;4;all;N/A;mean;4;87;271;290;0.27;0.29
All Providers Combined;Antioquia, Colombia;;Jan 2021;399280;108809;all;N/A;mean;108809;30;44700;14002;44.70;14.00
All Providers Combined;Arauca, Colombia;;Jan 2021;1705;454;all;N/A;mean;454;40;12158;9918;12.16;9.92
All Providers Combined;Atlantico, Colombia;;Jan 2021;106184;31017;all;N/A;mean;31017;38;43589;23668;43.59;23.67
All Providers Combined;Bogota, Colombia;;Jan 2021;1071329;293429;all;N/A;mean;293429;23;52631;20732;52.63;20.73
