Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;Device Count;Minimum Latency;Multi-Server Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Guaviare, Colombia;;may-22;164;56;N/A;cellular;median;56;39;609.643;268.806;8826;9920;8.83;9.92
All Providers Combined;Amazonas, Colombia;;jun-22;74;28;N/A;cellular;median;28;222;4.394.937;1.205.071;794;1916;0.79;1.92
All Providers Combined;Antioquia, Colombia;;jun-22;16358;6002;N/A;cellular;median;6002;35;64.776;154.218;10648;8598;10.65;8.60
All Providers Combined;Arauca, Colombia;;jun-22;402;117;N/A;cellular;median;117;58;871.083;159.972;9541;7275;9.54;7.28
All Providers Combined;Atlantico, Colombia;;jun-22;8050;2878;N/A;cellular;median;2878;32;825.274;167.935;11373;9547;11.37;9.55
All Providers Combined;Bogota, Colombia;;jun-22;37019;13460;N/A;cellular;median;13460;28;441.224;123.029;12647;9973;12.65;9.97
All Providers Combined;Bolivar, Colombia;;jun-22;2580;975;N/A;cellular;median;975;37;868.153;168.451;12679;9270;12.68;9.27
All Providers Combined;Boyaca, Colombia;;jun-22;2702;829;N/A;cellular;median;829;38;605.166;168.799;9122;6823;9.12;6.82
All Providers Combined;Caldas, Colombia;;jun-22;1571;615;N/A;cellular;median;615;47;706.827;137.694;10701;9200;10.70;9.20
All Providers Combined;Caquetá, Colombia;;jun-22;726;177;N/A;cellular;median;177;46;76.459;218.925;6224;6184;6.22;6.18
All Providers Combined;Casanare, Colombia;;jun-22;1070;285;N/A;cellular;median;285;35;582.084;15.414;9559;8648;9.56;8.65
All Providers Combined;Cauca Department, Colombia;;jun-22;1567;421;N/A;cellular;median;421;49;723.579;152.257;7415;7811;7.42;7.81
All Providers Combined;Cesar, Colombia;;jun-22;1448;430;N/A;cellular;median;430;38;905.745;184.555;10715;8432;10.72;8.43
All Providers Combined;Choco, Colombia;;jun-22;409;108;N/A;cellular;median;108;53;86.435;189.057;6086;7187;6.09;7.19
All Providers Combined;Cordoba, Colombia;;jun-22;1840;550;N/A;cellular;median;550;48;916.384;166.437;12605;8414;12.61;8.41
All Providers Combined;Cundinamarca, Colombia;;jun-22;7908;2861;N/A;cellular;median;2861;30;475.998;147.105;8734;7334;8.73;7.33
All Providers Combined;Guainia, Colombia;;jun-22;49;18;N/A;cellular;median;18;107;1.839.235;159.417;2118;2014;2.12;2.01
All Providers Combined;Huila, Colombia;;jun-22;1351;497;N/A;cellular;median;497;40;670.316;18.285;10933;7517;10.93;7.52
All Providers Combined;La Guajira, Colombia;;jun-22;1548;282;N/A;cellular;median;282;40;1.121.815;235.352;8783;7279;8.78;7.28
All Providers Combined;Magdalena, Colombia;;jun-22;1520;555;N/A;cellular;median;555;36;85.883;15.073;13039;10002;13.04;10.00
