Provider,Location,Device,Aggregate Date,Test Count,Sample Count,Platform,Technology Type,Metric Type,Device Count,Latency,Download Speed,Upload Speed,Download Speed Mbps,Upload Speed Mbps
All Providers Combined,"Casanare, Colombia",,jul-21,1469,341,N/A,cellular,mean,341,63,13440,9568,13.44,9.57
All Providers Combined,"Cauca Department, Colombia",,jul-21,1908,522,N/A,cellular,mean,522,63,15679,9010,15.68,9.01
All Providers Combined,"Cesar, Colombia",,jul-21,1786,666,N/A,cellular,mean,666,52,16610,9302,16.61,9.3
All Providers Combined,"Choco, Colombia",,jul-21,351,120,N/A,cellular,mean,120,86,8715,6660,8.72,6.66
All Providers Combined,"Cordoba, Colombia",,jul-21,1676,608,N/A,cellular,mean,608,58,18467,9029,18.47,9.03
All Providers Combined,"Cundinamarca, Colombia",,jul-21,10921,3844,N/A,cellular,mean,3844,49,14472,8586,14.47,8.59
All Providers Combined,"Guainia, Colombia",,jul-21,38,10,N/A,cellular,mean,10,103,2664,9566,2.66,9.57
All Providers Combined,"Huila, Colombia",,jul-21,1902,626,N/A,cellular,mean,626,61,13153,8746,13.15,8.75
All Providers Combined,"La Guajira, Colombia",,jul-21,1885,374,N/A,cellular,mean,374,61,13725,9420,13.73,9.42
All Providers Combined,"Magdalena, Colombia",,jul-21,2768,846,N/A,cellular,mean,846,53,16033,9195,16.03,9.2
All Providers Combined,"Meta, Colombia",,jul-21,2111,855,N/A,cellular,mean,855,59,14896,8827,14.9,8.83
All Providers Combined,"Narino, Colombia",,jul-21,1891,439,N/A,cellular,mean,439,67,16850,10153,16.85,10.15
All Providers Combined,"North Santander, Colombia",,jul-21,3043,895,N/A,cellular,mean,895,64,15867,8954,15.87,8.95
All Providers Combined,"Putumayo, Colombia",,jul-21,427,117,N/A,cellular,mean,117,99,7267,6527,7.27,6.53
All Providers Combined,"Quindio, Colombia",,jul-21,1340,546,N/A,cellular,mean,546,58,17807,10210,17.81,10.21
All Providers Combined,"Risaralda, Colombia",,jul-21,2381,864,N/A,cellular,mean,864,53,17182,8600,17.18,8.6
